,Physician_Profile_ID,Full_Name
0,259235,DAVID L SYCAMORE
1,255323,DAVID JAMES IZBRAND
2,261087,DANICE HERTZ
3,258706,DIMA RAMZY HANNA
4,258731,DEVON COLE
5,254479,DANIEL C RANDA
6,254694,DEMETRIUS S MAOURY
7,254758,DANIEL E KAHLER
8,258571,DONALD B SMITH
9,258725,DEBRA W OBEIRNE
10,258930,DAVID S HAYNES
11,259397,DANIEL J DEMARINO
12,264316,DANIELLE N STRAMANDI
13,264451,DAVID LANTZ
14,264701,DANIEL A RONTAL
15,264833,DENISE DIETZ
16,263720,DAVID S EINGORN
17,264397,DANIEL TAVELINSKY
18,254428,DIANNE K LITWIN
19,256533,DONALD OSTERGARD
20,258030,DAVID OGAMI
21,258306,DOUGLAS A FREELEY
22,256603,DAVID M PRIMO
23,257174,DAVID SLOAN WHITE
24,258915,DAVID M VERNICK
25,259000,DIMITRIOS LINTZERIS
26,259338,DANIEL A WELDON
27,255541,DOUG SCOTT
28,256042,DAVID J ISAACSON
29,258243,DANIEL BELAJIC
30,258463,DEBRA B STULBERG
31,258538,DIPESH PRAVIN PATEL
32,261496,DENNIS E NIEWOEHNER
33,259915,DIANA M KRAFT
34,260163,DARRELL S RIGEL
35,265799,DAVID K YAMADA
36,266033,DENISE H BALON
37,265212,DAVID W BLANN
38,265300,DAWN W KERSHNER
39,255487,DHEERENDRANATH V RAIKHELKAR
40,252974,DOUGLAS WARREN KAPLAN
41,258869,DANIEL S MCCALLY
42,257731,DIXIE FOX
43,257806,DONALD R BROGAN
44,257809,DOUGLAS A HOOD
45,260105,DWELVIN L SIMMONS
46,257720,DAVID A WIMMER
47,260357,DONALD M BIRCH
48,260275,DURAL L PARISH
49,260836,DORIS C BUTLER
50,259026,DOLUE D EZEANOLUE
51,259249,DALE F DUGUID
52,256505,DAVID R MEYER
53,261818,DELL P SMITH
54,262564,DAVID P BROCKWAY
55,266044,DENISE CORNEJO VUCOVICH
56,266266,DAVID M MEDUNICK
57,266610,DANIEL J VELAZQUEZ
58,266639,DAVID M KRUGER
59,255693,DENNIS L ROSATI
60,253354,DONALD A QUINN
61,253403,DOINA L GLODAN
62,259513,DON A BUFORD
63,258491,DIANE M WILKINSON
64,258582,DMITRIY O KHODORSKIY
65,261052,DONALD C LUEBKE
66,259129,DOUGLAS HOWARD WADDELL
67,259275,DANIEL LERNER
68,260033,DORIS TAN
69,259870,DOUGLAS HAYNES
70,259929,DAVID H HUMPHREYS
71,256793,DAVID S GUERRA
72,257103,DAVID W LITCHFORD
73,257363,DANIEL JOESPH SHERIDAN
74,263262,DANIEL R GOMEZ
75,263310,DALIA T OLIVIER
76,261423,DOUGLAS G PAULK
77,266790,DOUGLAS KATSUMI SAKAMOTO
78,266985,DAVID K HOWER
79,253872,DANE D SIMONS
80,259864,DAVID A GOORAY
81,261322,DOUGLAS G BOLITHO
82,253494,DANIEL J MOLLIN
83,260035,DAT TIEN TRAN
84,260959,DENZIL A HARRIS
85,260969,DANIEL GILLES TURGEON
86,261258,DAVID M NADEAU
87,258117,DALE J PETRUSHA
